,ROUTEID,FROMMEASURE,TOMEASURE,XCOORD,YCOORD,ADDTOGIS,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,FACILITYID,LIGHTTYPE_DESC,POLEHEIGHT_DESC,STREETLIGHTID,WATTAGE1,MAXTEMP,HUMIDITY,WINDSPEED,date_timestamp,day,month,year
3705,11034972,267.7800915,310.1358373,399526,130818,2007/04/19 00:00:00+00,Simple WP,Active,1,81824DC,LED-Light Emitting Diode,35 ft,81824DC,110,19.780245,81.565315,2.0991426,2007-04-19 00:00:00+00:00,19,4,2007
3706,11034972,310.1358373,351.7806145,405180,135547,2007/04/12 00:00:00+00,Wood pole Truss,Active,1,76929DC,HPS-High Pressure Sodium,35 ft,76929DC,400,21.350245,74.05155,2.1897945,2007-04-12 00:00:00+00:00,12,4,2007
3707,11000302,3418.598,3537.505,403493,135027,2007/04/08 00:00:00+00,Wood pole Truss,Active,1,76516DC,HPS-High Pressure Sodium,35 ft,76516DC,250,22.990246,67.968704,3.319036,2007-04-08 00:00:00+00:00,8,4,2007
3708,11009712,0,19.49769853,403580,134987,2007/04/09 00:00:00+00,Regular Alley,Active,2,76598DC,HPS-High Pressure Sodium,35 ft,76598DC,70,24.590246,60.917995,3.9763298,2007-04-09 00:00:00+00:00,9,4,2007
3709,12034972,622.7894,742.6899,405480,133877,2007/04/17 00:00:00+00,Regular Alley,Active,2,77306DC,HPS-High Pressure Sodium,35 ft,77306DC,150,25.990246,55.137493,3.4152596,2007-04-17 00:00:00+00:00,17,4,2007
3710,11003002,2403.982426,2562.896028,394232,137815,2007/06/14 00:00:00+00,Regular Alley,Active,2,21284,HPS-High Pressure Sodium,28 ft,21284,70,27.160246,49.5038,5.6002855,2007-06-14 00:00:00+00:00,14,6,2007
3711,11034972,351.7806145,417.6148115,394817,138268,2007/06/14 00:00:00+00,Regular Alley,Active,2,21242,HPS-High Pressure Sodium,28 ft,21242,70,27.950245,46.35305,5.771239,2007-06-14 00:00:00+00:00,14,6,2007
3712,11003602,2620.305666,2660.095131,394058,138131,2007/06/14 00:00:00+00,Regular Alley,Active,2,21281,HPS-High Pressure Sodium,28 ft,21281,100,28.870245,43.364086,7.208994,2007-06-14 00:00:00+00:00,14,6,2007
3713,11063762,2788.371858,2834.101809,393643,138705,2007/06/14 00:00:00+00,Regular Alley,Active,2,29062DC,HPS-High Pressure Sodium,35 ft,29062DC,70,29.320246,41.89115,9.3876505,2007-06-14 00:00:00+00:00,14,6,2007
3715,11034972,417.6148115,459.1635313,406078,137850,2007/04/12 00:00:00+00,Wood pole Truss,Active,1,70908DC,HPS-High Pressure Sodium,35 ft,70908DC,400,27.810246,47.188965,9.585739,2007-04-12 00:00:00+00:00,12,4,2007
3716,11034972,40.23039093,57.64360686,405547,137006,2007/04/08 00:00:00+00,Regular Alley,Active,2,70514DC,HPS-High Pressure Sodium,35 ft,70514DC,70,26.280245,52.993637,6.725354,2007-04-08 00:00:00+00:00,8,4,2007
3717,11034972,459.1635313,499.0244694,405638,136986,2007/04/08 00:00:00+00,Simple WP,Active,1,70503DC,HPS-High Pressure Sodium,35 ft,70503DC,250,24.310246,62.151173,8.225035,2007-04-08 00:00:00+00:00,8,4,2007
3718,11000402,4956.820654,5075.476583,400171,134664,2007/04/30 00:00:00+00,Simple Pendant,Active,1,65755,HPS-High Pressure Sodium,30 ft,65755,400,22.960245,67.70312,6.1305785,2007-04-30 00:00:00+00:00,30,4,2007
3722,11022552,3103.472231,3155.645893,405318,137445,2007/04/11 00:00:00+00,WP Arm with Guy,Active,1,70710DC,HPS-High Pressure Sodium,35 ft,70710DC,250,20.160246,72.0123,4.0249224,2007-04-11 00:00:00+00:00,11,4,2007
3723,11022552,3155.645893,3202.443402,406554,137308,2007/04/11 00:00:00+00,Regular Alley,Active,2,70800DC,HPS-High Pressure Sodium,35 ft,70800DC,150,19.700245,78.63087,5.692099,2007-04-11 00:00:00+00:00,11,4,2007
3724,11022552,3202.443402,3281.242,400323,134820,2007/04/30 00:00:00+00,Simple Pendant,Active,1,65731,HPS-High Pressure Sodium,30 ft,65731,400,18.700245,85.064476,3.9763298,2007-04-30 00:00:00+00:00,30,4,2007
3725,11022552,3050.60276,3103.472231,401424,134593,2007/05/04 00:00:00+00,Simple Pendant,Active,1,66227,HPS-High Pressure Sodium,30 ft,66227,400,18.550245,87.703445,4.8433046,2007-05-04 00:00:00+00:00,4,5,2007
3728,11022552,2500.685973,2572.967711,400519,134982,2007/05/01 00:00:00+00,Simple Pendant,Active,1,65886,HPS-High Pressure Sodium,30 ft,65886,250,18.870245,91.84016,5.495161,2007-05-01 00:00:00+00:00,1,5,2007
3730,11022552,2998.158434,3050.60276,400644,134836,2007/05/03 00:00:00+00,Simple Pendant,Active,1,66032,HPS-High Pressure Sodium,30 ft,66032,250,20.660246,85.319695,10.966713,2007-05-03 00:00:00+00:00,3,5,2007
3732,11022552,2622.419118,2669.186648,400189,134917,2007/05/01 00:00:00+00,Regular Alley,Active,2,65836DC,HPS-High Pressure Sodium,35 ft,65836DC,100,22.480246,66.745766,8.825508,2007-05-01 00:00:00+00:00,1,5,2007
3733,11022552,2898.939237,2945.582133,405361,137261,2007/04/11 00:00:00+00,WP Arm with Guy,Active,1,70726DC,HPS-High Pressure Sodium,35 ft,70726DC,250,23.190245,60.089233,10.853866,2007-04-11 00:00:00+00:00,11,4,2007
3734,11022552,2401.310558,2451.168201,405057,137913,2007/04/04 00:00:00+00,Regular Alley,Active,2,70139DC,HPS-High Pressure Sodium,35 ft,70139DC,150,22.940245,60.49885,14.113652,2007-04-04 00:00:00+00:00,4,4,2007
3735,11004802,1760.452899,1909.518263,405913,137861,2007/04/17 00:00:00+00,WP Arm with Guy,Active,1,71073DC,HPS-High Pressure Sodium,35 ft,71073DC,400,24.560246,55.52941,13.450708,2007-04-17 00:00:00+00:00,17,4,2007
3736,11022552,2796.109946,2843.032038,405082,134748,2007/04/11 00:00:00+00,Wood pole Truss,Active,1,76087DC,HPS-High Pressure Sodium,35 ft,76087DC,100,22.260244,64.006424,13.722565,2007-04-11 00:00:00+00:00,11,4,2007
3737,11004602,1206.499487,1281.300513,405206,134856,2012/01/12 00:00:00+00,Regular Alley,Active,2,76167DC,LED-Light Emitting Diode,35 ft,76167DC,75,21.190245,70.63848,15.496736,2012-01-12 00:00:00+00:00,12,1,2012
3738,11004502,2513.052975,2553.052181,405456,135684,2012/01/12 00:00:00+00,Simple WP,Active,1,75053DC,LED-Light Emitting Diode,35 ft,75053DC,215,20.830246,70.43432,13.75558,2012-01-12 00:00:00+00:00,12,1,2012
