,ROUTEID,FROMMEASURE,TOMEASURE,XCOORD,YCOORD,ADDTOGIS,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,FACILITYID,LIGHTTYPE_DESC,POLEHEIGHT_DESC,STREETLIGHTID,WATTAGE1,MAXTEMP,HUMIDITY,WINDSPEED,date_timestamp,day,month,year
0,11031852,979.7744918,1082.634792,396650,140096,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10599,HPS-High Pressure Sodium,30 ft,10599,400,6.4902453,93.82894,5.0911684,2007-06-21 00:00:00+00:00,21,6,2007
2,11084762,395.3053506,515.6615,396449,139700,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10686,HPS-High Pressure Sodium,30 ft,10686,400,5.5602455,94.83262,4.32,2007-06-21 00:00:00+00:00,21,6,2007
5,11086902,0,92.17389639,397112,140598,2007/06/18 00:00:00+00,Regular Alley,Active,2,13903,HPS-High Pressure Sodium,28 ft,13903,150,3.8802452,96.16575,3.671294,2007-06-18 00:00:00+00:00,18,6,2007
6,11082032,291.747936,392.2428,396777,140902,2007/06/19 00:00:00+00,Regular Alley,Active,2,14513,HPS-High Pressure Sodium,28 ft,14513,400,3.6502452,96.980194,4.3498964,2007-06-19 00:00:00+00:00,19,6,2007
7,11086902,92.17389639,216.710551,396484,140445,2007/06/20 00:00:00+00,Regular Alley,Active,2,10312,HPS-High Pressure Sodium,28 ft,10312,70,3.1102452,97.79321,5.1919937,2007-06-20 00:00:00+00:00,20,6,2007
8,11031852,425.2594449,737.3510207,396146,140795,2007/06/19 00:00:00+00,Regular Alley,Active,2,10027,HPS-High Pressure Sodium,28 ft,10027,70,2.7302456,98.201126,5.3999996,2007-06-19 00:00:00+00:00,19,6,2007
9,11074882,0,117.3383,396386,139587,2007/06/21 00:00:00+00,Regular Alley,Active,2,10702,HPS-High Pressure Sodium,28 ft,10702,70,2.5102453,98.19411,5.3517847,2007-06-21 00:00:00+00:00,21,6,2007
10,11082032,194.8238019,291.747936,396194,139772,2007/06/22 00:00:00+00,Simple Pendant,Active,1,10783,HPS-High Pressure Sodium,30 ft,10783,400,2.4402454,97.83999,5.495161,2007-06-22 00:00:00+00:00,22,6,2007
11,11084302,0,294.5538098,396671,139916,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10653,HPS-High Pressure Sodium,30 ft,10653,400,4.2502456,95.36762,6.638072,2007-06-21 00:00:00+00:00,21,6,2007
12,11084762,85.80708705,190.1442112,396828,139664,2007/06/25 00:00:00+00,Decorated Wrap,Active,1,11013,LED-Light Emitting Diode,30 ft,11013,200,6.5302453,92.20724,5.8048253,2007-06-25 00:00:00+00:00,25,6,2007
13,11074942,0,107.7588119,395980,138765,2007/06/27 00:00:00+00,Simple Pendant,Active,1,14560,HPS-High Pressure Sodium,30 ft,14560,400,8.290245,88.76688,6.439876,2007-06-27 00:00:00+00:00,27,6,2007
15,11001602,10277.8444,10287.26925,395980,140708,2007/06/19 00:00:00+00,Simple Pendant,Active,1,10014,HPS-High Pressure Sodium,30 ft,10014,150,11.3102455,79.97462,5.991594,2007-06-19 00:00:00+00:00,19,6,2007
17,11092432,974.2480708,996.635785,396135,139079,2007/06/28 00:00:00+00,Simple Pendant,Active,1,11118,HPS-High Pressure Sodium,30 ft,11118,400,10.530245,84.3071,6.28713,2007-06-28 00:00:00+00:00,28,6,2007
18,11065582,0,171.6227974,396619,139336,2007/06/23 00:00:00+00,Simple Pendant,Active,1,11485,HPS-High Pressure Sodium,30 ft,11485,400,7.3002453,93.68196,5.6920996,2007-06-23 00:00:00+00:00,23,6,2007
20,11031982,2589.662368,2768.832658,396068,140541,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10484,HPS-High Pressure Sodium,30 ft,10484,250,5.8002453,95.445526,5.937272,2007-06-21 00:00:00+00:00,21,6,2007
21,11092492,0,114.2345,396239,140563,2007/06/19 00:00:00+00,Regular Alley,Active,2,10455,HPS-High Pressure Sodium,28 ft,10455,250,5.170245,94.87827,5.315336,2007-06-19 00:00:00+00:00,19,6,2007
22,11092432,780.7679,974.2480708,396281,140064,2007/06/21 00:00:00+00,Regular Alley,Active,2,10533DC,LED-Light Emitting Diode,35 ft,10533DC,54,4.4902453,95.85379,5.495161,2007-06-21 00:00:00+00:00,21,6,2007
23,11082032,0,194.8238019,396756,140823,2007/06/19 00:00:00+00,Regular Alley,Active,2,10187DC,INC-Incandescent,35 ft,10187DC,189,3.9102454,95.96225,5.495161,2007-06-19 00:00:00+00:00,19,6,2007
24,11074942,107.7588119,287.7920649,397933,138893,2007/07/14 00:00:00+00,Simple Pendant,Active,1,14241,HPS-High Pressure Sodium,30 ft,14241,400,3.5702453,98.1573,6.193674,2007-07-14 00:00:00+00:00,14,7,2007
26,11072282,772.3447306,837.6055906,397664,139722,2007/07/14 00:00:00+00,Simple Pendant,Active,1,12475,HPS-High Pressure Sodium,30 ft,12475,400,2.8802452,97.087776,6.28713,2007-07-14 00:00:00+00:00,14,7,2007
28,11031982,2415.360458,2589.662368,395549,139825,2007/06/22 00:00:00+00,Regular Alley,Active,2,14533DC,INC-Incandescent,35 ft,14533DC,189,2.3602452,97.48621,6.379216,2007-06-22 00:00:00+00:00,22,6,2007
29,11071562,0,135.3142,396244,140373,2007/06/20 00:00:00+00,Regular Alley,Active,2,10374,HPS-High Pressure Sodium,28 ft,10374,70,2.3102455,96.64618,7.24486,2007-06-20 00:00:00+00:00,20,6,2007
30,11072282,685.8334215,772.3447306,396446,139773,2007/06/22 00:00:00+00,Regular Alley,Active,2,10757DC,HPS-High Pressure Sodium,35 ft,10757DC,100,2.3802454,96.09441,8.0899935,2007-06-22 00:00:00+00:00,22,6,2007
31,11083392,231.446642,437.4224,395514,139708,2007/06/22 00:00:00+00,Regular Alley,Active,2,10221DC,INC-Incandescent,35 ft,10221DC,189,2.4202454,95.54446,8.435069,2007-06-22 00:00:00+00:00,22,6,2007
32,11001602,10018.33216,10100.09694,396458,139626,2007/06/21 00:00:00+00,Regular Alley,Active,2,10699DC,HPS-High Pressure Sodium,35 ft,10699DC,70,2.5802455,95.07294,7.653705,2007-06-21 00:00:00+00:00,21,6,2007
33,11071562,135.3142592,464.1311927,396883,139833,2007/06/25 00:00:00+00,Simple Pendant,Active,1,12260,HPS-High Pressure Sodium,30 ft,12260,400,2.9402456,91.53713,7.10031,2007-06-25 00:00:00+00:00,25,6,2007
34,11072282,614.8343,685.8334215,396925,139686,2007/06/26 00:00:00+00,Simple Pendant,Active,1,12692,HPS-High Pressure Sodium,30 ft,12692,400,3.5602455,88.35643,6.9527545,2007-06-26 00:00:00+00:00,26,6,2007
36,11015792,0,108.7905926,396826,138990,2007/06/25 00:00:00+00,Simple Pendant,Active,1,11426,HPS-High Pressure Sodium,30 ft,11426,400,6.540245,81.80693,11.159999,2007-06-25 00:00:00+00:00,25,6,2007
44,11001602,9988.39988,10018.33216,397690,138570,2007/07/17 00:00:00+00,Simple Pendant,Active,1,13646,HPS-High Pressure Sodium,30 ft,13646,400,10.660245,68.37353,15.124284,2007-07-17 00:00:00+00:00,17,7,2007
45,11077282,609.7109871,667.0593,396982,140404,2007/06/18 00:00:00+00,Regular Alley,Active,2,13548,HPS-High Pressure Sodium,28 ft,13548,100,11.000245,68.68648,15.778516,2007-06-18 00:00:00+00:00,18,6,2007
46,11077282,511.3280293,609.7109871,396187,140653,2007/06/19 00:00:00+00,Regular Alley,Active,2,10082,HPS-High Pressure Sodium,28 ft,10082,70,11.720245,66.30155,15.1884165,2007-06-19 00:00:00+00:00,19,6,2007
47,11077282,465.9473,511.3280293,398940,139434,2007/07/13 00:00:00+00,Simple Pendant,Active,1,13731,HPS-High Pressure Sodium,30 ft,13731,400,12.5602455,64.985275,15.077082,2007-07-13 00:00:00+00:00,13,7,2007
48,11031982,2337.604208,2379.266551,397662,138925,2007/07/16 00:00:00+00,Simple Pendant,Active,1,12910,HPS-High Pressure Sodium,30 ft,12910,400,12.240245,68.42762,16.135872,2007-07-16 00:00:00+00:00,16,7,2007
49,11065522,55.35224485,148.0246132,398092,139010,2007/07/13 00:00:00+00,Simple Teardrop,Active,1,14056,LED-Light Emitting Diode,30 ft,14056,200,12.300245,69.680855,18.668005,2007-07-13 00:00:00+00:00,13,7,2007
51,11083332,0,116.1094,396589,140099,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10598,HPS-High Pressure Sodium,30 ft,10598,400,12.460245,70.05099,20.608229,2007-06-21 00:00:00+00:00,21,6,2007
52,11001602,9899.512348,9988.39988,397082,140879,2007/06/18 00:00:00+00,Simple Pendant,Active,1,13858,HPS-High Pressure Sodium,30 ft,13858,250,12.460245,71.11963,19.483284,2007-06-18 00:00:00+00:00,18,6,2007
54,11016432,0,17.28937578,395435,139863,2007/06/22 00:00:00+00,Regular Alley,Active,2,12193,HPS-High Pressure Sodium,28 ft,12193,100,12.370245,71.83889,17.068707,2007-06-22 00:00:00+00:00,22,6,2007
55,11031982,2261.49159,2337.604208,396524,140110,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10596,HPS-High Pressure Sodium,30 ft,10596,400,11.910245,73.247154,14.982228,2007-06-21 00:00:00+00:00,21,6,2007
56,11071562,464.1311927,479.823602,396365,139995,2007/06/21 00:00:00+00,Regular Alley,Active,2,10550,LED-Light Emitting Diode,28 ft,10550,54,11.740245,73.569016,13.089354,2007-06-21 00:00:00+00:00,21,6,2007
57,11083392,137.0733347,231.446642,396031,140418,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10504,HPS-High Pressure Sodium,30 ft,10504,400,11.670245,72.899605,11.457958,2007-06-21 00:00:00+00:00,21,6,2007
58,11071562,479.823602,523.0753898,398167,140899,2007/07/12 00:00:00+00,Simple Pendant,Active,1,11397,HPS-High Pressure Sodium,30 ft,11397,400,11.670245,72.648544,13.392774,2007-07-12 00:00:00+00:00,12,7,2007
60,11065522,148.0246132,244.3666136,398323,140393,2007/07/12 00:00:00+00,Simple Pendant,Active,1,11630,HPS-High Pressure Sodium,30 ft,11630,250,11.800245,73.9864,13.493999,2007-07-12 00:00:00+00:00,12,7,2007
61,11077282,421.9053586,465.9463,398057,140123,2007/07/11 00:00:00+00,Simple Pendant,Active,1,11945,HPS-High Pressure Sodium,30 ft,11945,400,11.920245,72.89697,12.88981,2007-07-11 00:00:00+00:00,11,7,2007
62,11031982,2114.259672,2261.49159,395574,139575,2007/06/22 00:00:00+00,Simple WP,Active,1,10217DC,INC-Incandescent,35 ft,10217DC,295,12.190246,72.44865,14.003028,2007-06-22 00:00:00+00:00,22,6,2007
63,11072282,572.1424194,614.8333,395607,139694,2007/06/22 00:00:00+00,Regular Alley,Active,2,10223DC,HPS-High Pressure Sodium,35 ft,10223DC,70,12.370245,71.98713,14.529915,2007-06-22 00:00:00+00:00,22,6,2007
64,11071562,523.0753898,759.9606674,395424,139899,2007/06/22 00:00:00+00,Regular Alley,Active,2,12194,HPS-High Pressure Sodium,28 ft,12194,100,12.330245,71.929886,14.277983,2007-06-22 00:00:00+00:00,22,6,2007
65,11072282,285.1629,342.7944043,397998,140550,2007/07/12 00:00:00+00,Simple Pendant,Active,1,11323,HPS-High Pressure Sodium,30 ft,11323,400,12.270246,72.06669,13.493999,2007-07-12 00:00:00+00:00,12,7,2007
66,11095032,237.1789366,396.7372559,397154,140748,2007/07/18 00:00:00+00,Simple Pendant,Active,1,13796,HPS-High Pressure Sodium,30 ft,13796,400,12.040245,72.619415,13.004922,2007-07-18 00:00:00+00:00,18,7,2007
67,11001602,9826.566312,9899.512348,397459,140521,2007/07/12 00:00:00+00,Simple Pendant,Active,1,12981,HPS-High Pressure Sodium,30 ft,12981,400,11.860246,72.58489,11.885453,2007-07-12 00:00:00+00:00,12,7,2007
70,11069162,570.647,724.137,398349,140336,2007/07/12 00:00:00+00,Regular Alley,Active,2,12011,LED-Light Emitting Diode,28 ft,12011,75,11.350245,75.96923,12.783802,2007-07-12 00:00:00+00:00,12,7,2007
72,11077282,157.681851,421.9053586,397195,141006,2007/07/12 00:00:00+00,Simple Pendant,Active,1,13189,HPS-High Pressure Sodium,30 ft,13189,400,11.150246,79.731895,16.548256,2007-07-12 00:00:00+00:00,12,7,2007
73,11095032,0,139.6179446,398112,140575,2007/07/12 00:00:00+00,Simple Pendant,Active,1,11319,HPS-High Pressure Sodium,30 ft,11319,400,11.440246,77.14209,16.92383,2007-07-12 00:00:00+00:00,12,7,2007
74,11092432,494.9749173,589.1988628,398145,140558,2007/07/12 00:00:00+00,Simple Pendant,Active,1,11320,HPS-High Pressure Sodium,30 ft,11320,400,11.400246,77.56019,15.1884165,2007-07-12 00:00:00+00:00,12,7,2007
77,11067602,388.6231952,402.9696097,398175,141014,2007/07/12 00:00:00+00,Simple Pendant,Active,1,11230,HPS-High Pressure Sodium,30 ft,11230,400,12.010245,75.77127,16.055353,2007-07-12 00:00:00+00:00,12,7,2007
78,11083392,0,137.0733347,396847,140508,2007/06/18 00:00:00+00,Simple Pendant,Active,1,13165,HPS-High Pressure Sodium,30 ft,13165,400,12.320246,78.98929,21.470612,2007-06-18 00:00:00+00:00,18,6,2007
79,11067602,151.236047,388.6231952,396317,140346,2007/06/20 00:00:00+00,Regular Alley,Active,2,10372,HPS-High Pressure Sodium,28 ft,10372,70,12.140245,82.468445,22.473343,2007-06-20 00:00:00+00:00,20,6,2007
80,11072282,240.4202987,285.1618703,396320,139524,2007/06/21 00:00:00+00,Regular Alley,Active,2,10705,HPS-High Pressure Sodium,28 ft,10705,70,12.130245,83.42142,22.870626,2007-06-21 00:00:00+00:00,21,6,2007
81,11065522,244.3666136,274.5793418,396711,140415,2007/06/20 00:00:00+00,Regular Alley,Active,2,14488,HPS-High Pressure Sodium,28 ft,14488,100,12.900246,77.64504,26.785547,2007-06-20 00:00:00+00:00,20,6,2007
82,11065522,274.5793418,331.624,395406,139929,2007/06/22 00:00:00+00,Regular Alley,Active,2,12195,HPS-High Pressure Sodium,28 ft,12195,100,13.720245,70.25891,26.712873,2007-06-22 00:00:00+00:00,22,6,2007
83,11001602,9734.699263,9826.566312,396112,140512,2007/06/21 00:00:00+00,Regular Alley,Active,2,10499,LED-Light Emitting Diode,28 ft,10499,54,14.150246,65.52666,25.661207,2007-06-21 00:00:00+00:00,21,6,2007
84,11064182,0,17.13019661,396394,140100,2007/06/21 00:00:00+00,Simple Pendant,Active,1,10592,HPS-High Pressure Sodium,30 ft,10592,400,15.3102455,58.609344,28.90107,2007-06-21 00:00:00+00:00,21,6,2007
89,11001402,10703.89209,10750.11019,396829,140079,2007/06/20 00:00:00+00,Simple Pendant,Active,1,10623,HPS-High Pressure Sodium,30 ft,10623,400,13.030245,71.6236,21.316135,2007-06-20 00:00:00+00:00,20,6,2007
91,11083262,177.6775671,276.6235944,398363,139275,2007/07/12 00:00:00+00,Simple Pendant,Active,1,13542,HPS-High Pressure Sodium,30 ft,13542,250,12.550245,75.29755,10.041354,2007-07-12 00:00:00+00:00,12,7,2007
92,11092432,294.1682909,494.9749173,397948,139794,2007/07/11 00:00:00+00,Simple Pendant,Active,1,12462,HPS-High Pressure Sodium,30 ft,12462,250,11.420245,83.1052,9.19939,2007-07-11 00:00:00+00:00,11,7,2007
93,11070912,287.1216769,439.127954,397771,139191,2007/07/11 00:00:00+00,Simple Pendant,Active,1,14288,HPS-High Pressure Sodium,30 ft,14288,400,9.620245,89.5015,9.931042,2007-07-11 00:00:00+00:00,11,7,2007
94,11070852,0,14.33469112,396217,140448,2007/06/20 00:00:00+00,Regular Alley,Active,2,10324,HPS-High Pressure Sodium,28 ft,10324,70,8.080246,89.30239,11.966954,2007-06-20 00:00:00+00:00,20,6,2007
95,11069222,66.453,105.177,397048,140667,2007/06/18 00:00:00+00,Regular Alley,Active,2,13802DC,HPS-High Pressure Sodium,35 ft,13802DC,150,7.250245,86.82677,11.525623,2007-06-18 00:00:00+00:00,18,6,2007
96,11001402,10660.87103,10703.89209,396520,140444,2007/06/20 00:00:00+00,Regular Alley,Active,2,10311,HPS-High Pressure Sodium,28 ft,10311,70,6.290245,81.13365,10.105681,2007-06-20 00:00:00+00:00,20,6,2007
97,11069162,463.223,570.647,398940,139382,2007/07/13 00:00:00+00,Simple Pendant,Active,1,13732,HPS-High Pressure Sodium,30 ft,13732,400,5.670245,84.042435,9.085988,2007-07-13 00:00:00+00:00,13,7,2007
98,11071562,759.9606674,788.5273,398357,139161,2007/07/12 00:00:00+00,Simple Pendant,Active,1,13987,HPS-High Pressure Sodium,30 ft,13987,400,5.610245,85.42093,8.654986,2007-07-12 00:00:00+00:00,12,7,2007
99,11071372,0,241.3064779,398221,139980,2007/07/12 00:00:00+00,Decorated Wrap,Active,1,11885,LED-Light Emitting Diode,28 ft,11885,200,5.6002455,87.19667,12.641076,2007-07-12 00:00:00+00:00,12,7,2007
100,11069222,0,66.453,397843,138854,2007/07/17 00:00:00+00,Simple Pendant,Active,1,14400,HPS-High Pressure Sodium,30 ft,14400,400,5.480245,88.491615,14.689588,2007-07-17 00:00:00+00:00,17,7,2007
101,11077282,45.68228035,157.681851,398866,139814,2007/07/13 00:00:00+00,Simple Pendant,Active,1,13725,HPS-High Pressure Sodium,30 ft,13725,400,5.4702454,88.49059,14.336861,2007-07-13 00:00:00+00:00,13,7,2007
102,11001402,10617.47501,10660.87103,397186,139729,2007/07/10 00:00:00+00,Simple Pendant,Active,1,12287,LED-Light Emitting Diode,28 ft,12287,215,5.3102455,87.78614,15.696165,2007-07-10 00:00:00+00:00,10,7,2007
103,11083262,84.391,177.6775671,397422,139026,2007/07/17 00:00:00+00,Simple Pendant,Active,1,11726,HPS-High Pressure Sodium,30 ft,11726,400,4.8502455,83.45338,15.328561,2007-07-17 00:00:00+00:00,17,7,2007
107,11001602,9625.668194,9734.699263,397069,140925,2007/06/18 00:00:00+00,Regular Alley,Active,2,13852,HPS-High Pressure Sodium,28 ft,13852,70,3.1302452,73.68332,13.039754,2007-06-18 00:00:00+00:00,18,6,2007
108,11054732,530.6461136,557.3950009,396027,139533,2007/06/27 00:00:00+00,Regular Alley,Active,2,14561,HPS-High Pressure Sodium,28 ft,14561,70,3.2002454,72.778625,14.869351,2007-06-27 00:00:00+00:00,27,6,2007
109,11031982,1938.896987,1999.397209,396116,139530,2007/06/27 00:00:00+00,Regular Alley,Active,2,11057,HPS-High Pressure Sodium,28 ft,11057,70,3.2502456,67.89054,14.869351,2007-06-27 00:00:00+00:00,27,6,2007
111,11063112,91.6598878,306.0041993,398107,139137,2007/07/13 00:00:00+00,Simple Teardrop,Active,1,13386,LED-Light Emitting Diode,30 ft,13386,200,4.1002455,58.177803,14.759999,2007-07-13 00:00:00+00:00,13,7,2007
117,11070912A,55.70815374,112.7761,398026,139689,2007/07/13 00:00:00+00,Decorated Straight,Active,1,12421,HPS-High Pressure Sodium,30 ft,12421,250,0.84024537,80.274216,5.6233797,2007-07-13 00:00:00+00:00,13,7,2007
120,11031982,1838.627251,1938.896987,396951,140988,2007/06/18 00:00:00+00,Simple Pendant,Active,1,13831,HPS-High Pressure Sodium,30 ft,13831,250,1.2002454,86.55992,6.151683,2007-06-18 00:00:00+00:00,18,6,2007
123,11077282,0,45.68228035,397118,140427,2007/06/18 00:00:00+00,Regular Alley,Active,2,13807,HPS-High Pressure Sodium,28 ft,13807,150,1.7302454,86.87855,5.1165614,2007-06-18 00:00:00+00:00,18,6,2007
124,11070912,174.8117236,229.9986222,396242,140254,2007/06/21 00:00:00+00,Regular Alley,Active,2,10361,HPS-High Pressure Sodium,28 ft,10361,70,1.8102454,86.634026,4.8433046,2007-06-21 00:00:00+00:00,21,6,2007
126,11001402,10409.50244,10490.66277,397938,138779,2007/07/18 00:00:00+00,Decorated Wrap,Active,1,13291,HPS-High Pressure Sodium,30 ft,13291,400,1.9902455,87.03653,5.1165614,2007-07-18 00:00:00+00:00,18,7,2007
127,11083262,0,84.39,397441,139109,2007/07/17 00:00:00+00,Simple Pendant,Active,1,12566,HPS-High Pressure Sodium,30 ft,12566,400,1.8102454,88.94427,4.6102495,2007-07-17 00:00:00+00:00,17,7,2007
128,11070912A,0,55.70815374,397912,138624,2007/07/16 00:00:00+00,Simple Pendant,Active,1,13554,HPS-High Pressure Sodium,30 ft,13554,400,1.8002454,90.976204,4.3349743,2007-07-16 00:00:00+00:00,16,7,2007
129,11054732,0,77.9716532,397912,138561,2007/07/16 00:00:00+00,Simple Pendant,Active,1,13556,HPS-High Pressure Sodium,30 ft,13556,400,1.6702454,92.83788,6.1305785,2007-07-16 00:00:00+00:00,16,7,2007
131,11051022,1320.184366,1489.067944,398005,138510,2007/07/16 00:00:00+00,Simple Pendant,Active,1,13572,HPS-High Pressure Sodium,30 ft,13572,250,2.4702454,89.27122,3.0547013,2007-07-16 00:00:00+00:00,16,7,2007
132,11051022,1489.067944,1552.518794,396001,140604,2007/06/19 00:00:00+00,Regular Alley,Active,2,10011,HPS-High Pressure Sodium,28 ft,10011,100,3.2502456,85.93003,4.39436,2007-06-19 00:00:00+00:00,19,6,2007
133,11054732,77.9716532,122.2594014,397103,140821,2007/06/18 00:00:00+00,Regular Alley,Active,2,13867,HPS-High Pressure Sodium,28 ft,13867,70,3.5602455,81.24367,6.28713,2007-06-18 00:00:00+00:00,18,6,2007
134,11056422,541.5287995,590.2411597,397202,139799,2007/07/11 00:00:00+00,Simple Pendant,Active,1,12298,HPS-High Pressure Sodium,30 ft,12298,400,4.170245,77.64807,6.9899354,2007-07-11 00:00:00+00:00,11,7,2007
135,11001602,9543.736,9625.668194,397214,139314,2007/07/10 00:00:00+00,Simple Pendant,Active,1,11836,HPS-High Pressure Sodium,30 ft,11836,400,4.4802456,75.917366,6.130579,2007-07-10 00:00:00+00:00,10,7,2007
136,11014272,9560.700082,10543.575,397019,140869,2007/06/18 00:00:00+00,Regular Alley,Active,2,13863,HPS-High Pressure Sodium,28 ft,13863,70,4.150245,79.12522,5.1544156,2007-06-18 00:00:00+00:00,18,6,2007
137,11054732,122.2594014,156.4385682,396345,139691,2007/06/22 00:00:00+00,Regular Alley,Active,2,10750DC,HPS-High Pressure Sodium,35 ft,10750DC,70,3.9402456,81.36101,2.5455842,2007-06-22 00:00:00+00:00,22,6,2007
138,11056422,528.5643717,541.5287995,397075,141002,2007/06/18 00:00:00+00,Regular Alley,Active,2,10269DC,HPS-High Pressure Sodium,35 ft,10269DC,70,2.1902454,88.20972,1.835647,2007-06-18 00:00:00+00:00,18,6,2007
139,11092432,210.612032,294.1682909,395537,139658,2007/06/22 00:00:00+00,Regular Alley,Active,2,10219DC,INC-Incandescent,35 ft,10219DC,189,2.1502454,88.01276,1.0182338,2007-06-22 00:00:00+00:00,22,6,2007
140,11070912,0,174.8117236,396558,140444,2007/06/20 00:00:00+00,Regular Alley,Active,2,10310,HPS-High Pressure Sodium,28 ft,10310,70,1.5802454,90.95654,2.8116899,2007-06-20 00:00:00+00:00,20,6,2007
141,11056422,413.1207682,528.5643717,396942,141019,2007/06/18 00:00:00+00,Regular Alley,Active,2,13834,INC-Incandescent,28 ft,13834,189,0.8702454,91.96498,1.5273507,2007-06-18 00:00:00+00:00,18,6,2007
142,11035492,78.27674097,126.3436607,396286,140346,2007/06/20 00:00:00+00,Regular Alley,Active,2,10373,HPS-High Pressure Sodium,28 ft,10373,70,0.3102454,92.05339,0.35999998,2007-06-20 00:00:00+00:00,20,6,2007
143,11031982,1788.883957,1838.627251,396963,140943,2007/06/18 00:00:00+00,Regular Alley,Active,2,13849,INC-Incandescent,28 ft,13849,189,-0.009754598,91.89073,1.609969,2007-06-18 00:00:00+00:00,18,6,2007
144,11051022,1116.888555,1187.610554,397804,139190,2007/07/14 00:00:00+00,Decorated Wrap,Active,1,14136,HPS-High Pressure Sodium,30 ft,14136,250,-1.1897546,92.95853,3.6179552,2007-07-14 00:00:00+00:00,14,7,2007
146,11052602,0,17.24426649,397423,138723,2007/07/17 00:00:00+00,Simple Pendant,Active,1,13466,HPS-High Pressure Sodium,30 ft,13466,400,-2.0597544,92.61025,5.0142193,2007-07-17 00:00:00+00:00,17,7,2007
147,11056422,377.5854816,413.1207682,398238,139900,2007/07/12 00:00:00+00,Decorated Straight,Active,1,13515,HPS-High Pressure Sodium,30 ft,13515,250,-1.6297547,91.543396,4.896529,2007-07-12 00:00:00+00:00,12,7,2007
148,11035492,64.1142246,78.27674097,397211,139451,2007/07/10 00:00:00+00,Simple Pendant,Active,1,11846,HPS-High Pressure Sodium,30 ft,11846,400,-0.88975465,90.93057,4.802999,2007-07-10 00:00:00+00:00,10,7,2007
149,11051022,1022.461734,1116.888555,398015,138909,2007/07/14 00:00:00+00,Simple Pendant,Active,1,14214,HPS-High Pressure Sodium,30 ft,14214,250,-0.9597546,91.740204,5.4119864,2007-07-14 00:00:00+00:00,14,7,2007
151,11056422,329.1784926,377.5854816,398257,139149,2007/07/12 00:00:00+00,Simple Pendant,Active,1,13964,HPS-High Pressure Sodium,30 ft,13964,400,-0.89975464,91.13299,6.162207,2007-07-12 00:00:00+00:00,12,7,2007
152,11051022,1238.796874,1283.24212,397423,138626,2007/07/17 00:00:00+00,Simple Pendant,Active,1,13462,HPS-High Pressure Sodium,30 ft,13462,400,-0.62975454,90.21425,6.5693827,2007-07-17 00:00:00+00:00,17,7,2007
153,11035492,0,64.1142246,397168,139182,2007/06/26 00:00:00+00,Simple Pendant,Active,1,12055,HPS-High Pressure Sodium,30 ft,12055,400,-0.4597546,88.43775,7.5685663,2007-06-26 00:00:00+00:00,26,6,2007
154,11069162,0,273.6939921,396209,139220,2007/06/27 00:00:00+00,Simple Pendant,Active,1,11513,HPS-High Pressure Sodium,30 ft,11513,400,0.080245405,85.59016,9.028754,2007-06-27 00:00:00+00:00,27,6,2007
155,11056422,272.4437771,329.1784926,397430,139645,2007/07/14 00:00:00+00,Simple Pendant,Active,1,12451,HPS-High Pressure Sodium,30 ft,12451,400,0.84024537,85.05783,9.746631,2007-07-14 00:00:00+00:00,14,7,2007
156,11001402,10324.41069,10409.50244,398154,139687,2007/07/11 00:00:00+00,Simple Pendant,Active,1,13141,HPS-High Pressure Sodium,30 ft,13141,250,1.8302454,83.45493,11.165805,2007-07-11 00:00:00+00:00,11,7,2007
157,11051022,949.1905189,1022.461734,397559,139044,2007/07/16 00:00:00+00,Simple Pendant,Active,1,12653,HPS-High Pressure Sodium,30 ft,12653,250,2.0102453,83.48057,11.525623,2007-07-16 00:00:00+00:00,16,7,2007
158,11051022,1283.24212,1320.184366,398141,139713,2007/07/11 00:00:00+00,Simple Pendant,Active,1,13140,HPS-High Pressure Sodium,30 ft,13140,250,2.0202456,86.91298,14.039999,2007-07-11 00:00:00+00:00,11,7,2007
159,11056422,74.39066544,272.4437771,396491,140586,2007/06/20 00:00:00+00,Regular Alley,Active,2,10340DC,HPS-High Pressure Sodium,35 ft,10340DC,100,1.6602454,93.17524,14.654254,2007-06-20 00:00:00+00:00,20,6,2007
160,11001302,9570.608272,9614.354222,396154,140591,2007/06/19 00:00:00+00,Regular Alley,Active,2,10035,HPS-High Pressure Sodium,28 ft,10035,70,1.6002454,97.1048,12.313894,2007-06-19 00:00:00+00:00,19,6,2007
161,11031982,1739.37924,1749.257556,395480,139777,2007/06/22 00:00:00+00,Regular Alley,Active,2,12190,HPS-High Pressure Sodium,28 ft,12190,100,1.7702454,96.761566,13.004922,2007-06-22 00:00:00+00:00,22,6,2007
162,11001202,4566.852035,4692.831967,396404,139603,2007/06/21 00:00:00+00,Regular Alley,Active,2,14372,HPS-High Pressure Sodium,28 ft,14372,70,1.9602454,95.72713,13.324863,2007-06-21 00:00:00+00:00,21,6,2007
